furiganakanji,listaportugues
とちぎけん 栃木県,Prefeitura de Tochigi (área de Kanto)
の,indica possessivo
どうぶつえん 動物園,jardim zoológico;jardins zoológicos
ちい 小さな,pequeno; pouco; minúsculo
すなねこ 砂猫,gato da areia (Felis margarita);gato de duna de areia
あか 赤ちゃん,bebê;infantil
を,indica objeto direto de ação
みんな 皆,todos; todo mundo; todos
に 二,two(As traduções variam)
み 見せる,mostrar; mostrar
は,partícula de marcador de tópico
阿弗利加アフリカ 阿弗利加,África
さばく 砂漠,desert(As traduções variam)
が,indica o sujeito da frase (ocasionalmente objeto)
あ 有る,ser estar; existir; viver
ところ 所,"Lugar, colocar;local;cena;local"
など 等,et cetera;etc .;e similar;e assim por diante
いて 射手,arqueiro;atirador;arqueiro
せかい 世界,o mundo; sociedade; o universo
で 出,saindo;saindo;fluxo de saída;efluxo;nascente (do Sol ou da Lua)
いちばん 一番,número um; primeiro; primeiro lugar
クラス,classe
ねこ 猫,"gato (especialmente o gato doméstico, Felis catus)"
です,estar; é
那須弓雄,Yumi Onasu
どうぶつ 動物,animal
おうこく 王国,reino;monarquia
しがつ ４月,abril
にほん 日本,Japão
はじ 初めて,pela primeira vez
う 生まれる,para nascer
そ 然して,e;e depois;portanto;e agora;e finalmente
しちがつ ７月,Julho
ここのか 九日,nono dia do mês
う 生まれたて,newborn(As traduções variam)
めす 雌,"fêmea (animal, planta)"
いっぴき 一匹,um animal (pequeno)
からだ 体,corpo
おも 重さ,peso
くらい,aproximadamente;sobre;por aí;ou então
な 成ってない,inaceitável;nada de bom;fracasso completo;inadequado
げんき 元気,animada;cheio de espírito;energético;vigoroso;vital;espirituoso
ミルク,leite
の 飲む,para beber;para engolir;para engolir;tomar remédio)
こんげつ 今月,este mês
じゅうさんにち 十三日,décimo terceiro dia do mês
から,"de (por exemplo, tempo, local, quantidade numérica);Desde a"
こ 此の,esta
こと 事,coisa;importam
や 辞める,"resignar;aposentar-se;para sair;sair (o trabalho, etc.)"
ため 為,Boa;vantagem;beneficiar;bem-estar
み 見,olhando;vendo
く 来る,vir (espacial ou temporalmente);se aproximar;chegar
ひと 人,homem; pessoa
でんわ 電話,telefonema; chamada telefónica
き 聞いてあきれる,ficar surpreso ao ouvir;ser incrédulo sobre;para expressar descrença
ほ 欲しい,procurado;desejei;na necessidade de;desejado
と 戸,porta (especialmente no estilo japonês)
い 言う,dizer;para proferir;declarar
